candidate_id,name,current_title,total_experience_years,matched_skills,missing_skills,total_match_score,rank,fit_explanation
CAND_1011,Candidate_012,Software Engineer,12.2,"gcp, langchain, llm, machine learning, mlflow, nlp, r, spark, sql, transformers","docker, faiss, kubernetes, pinecone, python, pytorch, rag, scala, tensorflow, vector database",0.5025,1,"Partial fit (50% overall match). Matched skills: gcp, langchain, llm, machine learning, mlflow, nlp, r, spark. Missing required skills: docker, faiss, kubernetes, pinecone, python. Experience: 12.2yr meets the 5yr requirement. Semantic profile match: 7%."
CAND_1007,Candidate_008,Senior ML Engineer,13.1,"aws, faiss, langchain, mlflow, python, r, rag, scala, sql, transformers","docker, kubernetes, llm, machine learning, nlp, pinecone, pytorch, tensorflow, vector database",0.4979,2,"Partial fit (49% overall match). Matched skills: aws, faiss, langchain, mlflow, python, r, rag, scala. Missing required skills: docker, kubernetes, llm, machine learning, nlp. Experience: 13.1yr meets the 5yr requirement. Semantic profile match: 6%."
CAND_1043,Candidate_044,Backend Engineer,14.6,"aws, docker, faiss, kubernetes, llm, nlp, python, r, rag, spark, sql","langchain, machine learning, mlflow, pinecone, pytorch, scala, tensorflow, transformers, vector database",0.4955,3,"Partial fit (49% overall match). Matched skills: aws, docker, faiss, kubernetes, llm, nlp, python, r. Missing required skills: langchain, machine learning, mlflow, pinecone, pytorch. Experience: 14.6yr meets the 5yr requirement. Semantic profile match: 5%."
CAND_1082,Candidate_083,Data Scientist,7.9,"faiss, gcp, kubernetes, langchain, llm, pinecone, r, scala, spark, tensorflow, transformers","docker, machine learning, mlflow, nlp, python, pytorch, rag, sql, vector database",0.4898,4,"Partial fit (48% overall match). Matched skills: faiss, gcp, kubernetes, langchain, llm, pinecone, r, scala. Missing required skills: docker, machine learning, mlflow, nlp, python. Experience: 7.9yr meets the 5yr requirement. Semantic profile match: 6%."
CAND_1083,Candidate_084,Research Scientist,14.3,"faiss, gcp, kafka, llm, nlp, r, scala, tensorflow, transformers","docker, kubernetes, langchain, machine learning, mlflow, pinecone, python, pytorch, rag, sql, vector database",0.4893,5,"Partial fit (48% overall match). Matched skills: faiss, gcp, kafka, llm, nlp, r, scala, tensorflow. Missing required skills: docker, kubernetes, langchain, machine learning, mlflow. Experience: 14.3yr meets the 5yr requirement. Semantic profile match: 3%."
CAND_1091,Candidate_092,Senior ML Engineer,7.2,"aws, docker, faiss, gcp, langchain, llm, r, scala, spark, sql, tensorflow","kubernetes, machine learning, mlflow, nlp, pinecone, python, pytorch, rag, transformers, vector database",0.4885,6,"Partial fit (48% overall match). Matched skills: aws, docker, faiss, gcp, langchain, llm, r, scala. Missing required skills: kubernetes, machine learning, mlflow, nlp, pinecone. Experience: 7.2yr meets the 5yr requirement. Semantic profile match: 8%."
CAND_1040,Candidate_041,Software Engineer,8,"docker, gcp, kafka, llm, nlp, pinecone, pytorch, r, rag, scala, sql, transformers","faiss, kubernetes, langchain, machine learning, mlflow, python, tensorflow, vector database",0.4866,7,"Partial fit (48% overall match). Matched skills: docker, gcp, kafka, llm, nlp, pinecone, pytorch, r. Missing required skills: faiss, kubernetes, langchain, machine learning, mlflow. Experience: 8.0yr meets the 5yr requirement. Semantic profile match: 5%."
CAND_1075,Candidate_076,Full Stack Developer,11.6,"docker, faiss, langchain, llm, machine learning, mlflow, pytorch, r, sql","kubernetes, nlp, pinecone, python, rag, scala, tensorflow, transformers, vector database",0.4799,8,"Partial fit (47% overall match). Matched skills: docker, faiss, langchain, llm, machine learning, mlflow, pytorch, r. Missing required skills: kubernetes, nlp, pinecone, python, rag. Experience: 11.6yr meets the 5yr requirement. Semantic profile match: 6%."
CAND_1099,Candidate_100,Data Engineer,5.7,"faiss, gcp, kubernetes, llm, machine learning, pinecone, pytorch, r, rag, spark, sql, tensorflow","docker, langchain, mlflow, nlp, python, scala, transformers, vector database",0.4798,9,"Partial fit (47% overall match). Matched skills: faiss, gcp, kubernetes, llm, machine learning, pinecone, pytorch, r. Missing required skills: docker, langchain, mlflow, nlp, python. Experience: 5.7yr meets the 5yr requirement. Semantic profile match: 6%."
CAND_1065,Candidate_066,Computer Vision Engineer,9.7,"aws, kafka, langchain, llm, pinecone, python, r, scala, sql","docker, faiss, kubernetes, machine learning, mlflow, nlp, pytorch, rag, tensorflow, transformers, vector database",0.4763,10,"Partial fit (47% overall match). Matched skills: aws, kafka, langchain, llm, pinecone, python, r, scala. Missing required skills: docker, faiss, kubernetes, machine learning, mlflow. Experience: 9.7yr meets the 5yr requirement. Semantic profile match: 5%."
